"subject","switch_cost","blocktime","rt","switch","reward_sensitivity"
"1",200.19194298512,155.9775,896.33969644546,0.473069131093526,0.714344612734572
"10",344.26822257856,211.861083333333,1162.60927110968,0.482664659863717,0.779845692172245
"11",528.358904231006,146.59525,529.592735797628,0.0694689729761753,0.0826213260423787
"12",357.042542964057,123.42275,491.787629811675,0.152848486357106,-0.00939247135367825
"13",213.418660594345,166.384833333333,707.009813229584,0.467180206742807,NA
"14",168.499910777545,116.32075,522.765686145633,0.216963312884022,0.220053114949437
"16",284.71943052689,193.807166666667,950.541144953146,0.418367490901365,0.0123556331569427
"17",281.957404755932,129.955333333333,444.164550014995,0.117146710434542,0.0123039083952397
"18",231.578500552572,130.244666666667,559.08608306404,0.251083665523724,0.137557212735774
"19",282.526439914766,160.6685,630.819856302063,0.272429451998186,0.104094516594517
"2",194.280348363592,150.186241352257,502.659179208932,0.200381068864559,0.15061899923266
"21",639.911917557075,154.397916666667,800.244660021165,0.135001030328088,0.230889653489291
"22",49.0427700686965,119.70925,481.109758953107,0.241328578604292,0.383693641884431
"23",275.960049210332,164.83425,426.733540533257,0.0111111111111111,0
"24",368.166861995005,132.299083333333,499.65736117735,0.0940026879224808,0.122703319013388
"25",-136.571800922785,182.520583333333,916.016743480519,0.917047930035872,0.122660074515791
"26",442.736073315389,216.784666666667,925.303043014306,0.649276176658282,0.0844083694083694
"27",133.372802722124,134.2285,856.742338838228,0.551802320135688,0.779156768151333
"28",124.476824147332,217.51875,1297.97336294688,0.989359846502704,0.00577894327894328
"29",276.562467791078,151.597583333333,929.334433597155,0.369589558632948,0.677616441006534
"3",201.290782311931,158.626166666667,508.369980906699,0.243970040191508,0.1034779397589
"30",468.14721717764,175.97325,714.915481344063,0.311260541430077,0.354082722832723
"35",367.940024259245,127.101,602.302776222649,0.0953746898120303,0.0791774770780189
"36",133.27118754458,122.360083333333,442.630154392185,0.420165464706214,0.0546518807952042
"37",105.397225527487,144.185666666667,436.242000453185,0.108353162484518,0.00163840788840789
"38",96.9182090795605,114.52825,448.719195388207,0.271002555631417,0.299691729365642
"39",NA,184.880833333333,428.784915688517,0,0
"4",183.253164632585,127.410583333333,523.683986000642,0.188811317850198,0.0657463197904374
"40",211.219194400368,135.0045,589.650952125768,0.20157617933997,0.0466009684759685
"41",265.283506106852,167.844333333333,714.854024112411,0.229055687301725,0.139167504855559
"42",290.054948741612,178.393666666667,675.66179639391,0.340488333415083,0.116444118038587
"43",332.617469314789,135.956,470.330443136887,0.171601627695854,0.0373607929793991
"44",91.7050008953005,161.824,778.136630718981,0.424729874277611,0.465235869134196
"45",75.3042837751875,156.188333333333,487.114022468638,0.389987685600391,0.211069486069486
"48",239.834633260453,134.634083333333,564.871331281485,0.272892263135717,0.392580550043215
"49",369.107039361304,136.929666666667,551.809842718039,0.125555331090608,0.149155139451192
"5",226.490822843304,156.30275,618.132061052532,0.327987234913959,0.0385755442963681
"50",387.023210196096,211.802416666667,1064.7486641798,0.497320036678722,0.857999282510316
"52",279.968416501517,140.482416666667,624.890058783468,0.354768053334174,0.328483742091479
"53",70.7048923144877,120.61,538.506954821143,0.329152246028806,-0.089630658013011
"54",266.602453402323,202.010666666667,747.885535809147,0.432464821946024,0.0986148111148111
"56",154.507044045899,217.257833333333,1008.9036072139,0.572346515251437,0.938287927593678
"57",464.719280481259,172.5735,649.863164819772,0.117673678110836,0.0877150083032436
"59",-23.6857193986849,211.049333333333,890.178464888761,0.75551222491946,0.811065694384749
"6",107.928016791324,170.353333333333,586.096246284601,0.31096410889243,0.480862466481658
"60",90.5086155579002,138.924916666667,565.743126942549,0.405361250698018,-0.038346397380756
"61",129.985795263778,145.938833333333,443.22963257618,0.0695542043937094,0.0341431803890091
"62",155.464566078262,168.275083333333,594.009752995915,0.326344090057306,0.514841185639728
"63",148.045796232549,130.254916666667,575.179838283518,0.415865579257061,0.146113554201789
"64",16.5160237191276,149.453416666667,572.810971561429,0.819933181059403,0.460622594997595
"65",185.38657717025,207.40525,1123.60403973907,0.715224757400577,0.743928436759319
"67",287.294043173625,152.204166666667,499.581623398488,0.159771617263519,0.0941260128760129
"68",46.9924110676791,171.654083333333,751.298704708071,0.701480266944154,0.269108612596244
"69",181.608511497718,150.306333333333,500.080036418477,0.249881594197649,0.122758273814308
"7",236.249073405736,172.1175,576.294749772228,0.20038854197702,0.0486405772589983
"72",260.992087124244,164.064,808.728679678017,0.438535089849276,0.671181376308665
"73",-19.9508871405209,199.358916666667,803.677061970124,0.890957579414519,0.0811212465388667
"74",171.864943924647,203.791916666667,1102.4888181201,0.66354268024361,0.181030980353498
"75",207.785313347407,155.361583333333,733.18902006529,0.179344963115325,0.152012067453244
"78",47.1570297046603,190.53425,1208.26228593672,0.624723331964299,0.0868525833359593
"8",390.681658846039,146.862333333333,559.658808402567,0.105439645853731,-0.037366447401947
"80",308.421724435883,148.919916666667,548.525732305281,0.246724198499526,0.00261029175502859
"81",119.861868818183,193.158,918.798007209657,0.561968263298868,0.089881929241197
